Billing Document,Billing Date,Document Type,Company Code,Sales Organization,Distribution Channel,Division,Sold-to Party Name,Payer,Country Key,Material Description,Net Value,Currency,Reference Sales Order,Fiscal Year Period,Created By,Created On
1900000003,2026-02-17,F2,NL01,NL01,10,00,De Wit Consultancy B.V.,De Wit Consultancy B.V.,Netherlands,Data Migration Services,7594.78,EUR,SO-1429476,2026/02,A.KOK,2026-02-17
1900000004,2026-02-13,F2,NL01,NL01,10,00,Van der Heijden Supply Chain B.V.,Van der Heijden Supply Chain B.V.,Netherlands,Implementation Consulting Services,10247.44,EUR,SO-4545371,2026/02,R.JANSSEN,2026-02-13
1900000005,2025-12-11,F2,NL01,NL01,10,00,Smit Engineering B.V.,Smit Engineering B.V.,Netherlands,Implementation Consulting Services,14000.0,EUR,SO-9648023,2025/12,S.BAKKER,2025-12-11
1900000007,2026-02-04,F2,NL01,NL01,20,00,De Groot Handelsonderneming B.V.,De Groot Handelsonderneming B.V.,Netherlands,Automation Controller Pro,11405.75,EUR,SO-2689526,2026/02,M.DEVRIES,2026-02-04
1900000008,2026-03-24,F2,NL01,NL01,20,00,Visser Machinebouw B.V.,Visser Machinebouw B.V.,Netherlands,Hydraulic Pump Unit HP-450,5736.15,EUR,SO-6704984,2026/03,S.BAKKER,2026-03-24
1900000010,2025-08-08,F2,NL01,NL01,20,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Hydraulic Pump Unit HP-450,3607.99,EUR,SO-2753328,2025/08,BATCHJOB,2025-08-08
1900000012,2025-10-27,F2,NL01,NL01,20,00,Peters Automatisering B.V.,Peters Automatisering B.V.,Netherlands,Automation Controller Pro,7000.0,EUR,SO-3502207,2025/10,R.JANSSEN,2025-10-27
1900000014,2025-05-21,F2,NL01,NL01,20,00,Meijer Energie B.V.,Meijer Energie B.V.,Netherlands,Electric Motor EM-750,11546.43,EUR,SO-3802839,2025/05,BATCHJOB,2025-05-21
1900000016,2026-03-03,F2,NL01,NL01,10,00,De Vries Energy Solutions B.V.,De Vries Energy Solutions B.V.,Netherlands,Support Retainer Services,11875.99,EUR,SO-4843359,2026/03,A.KOK,2026-03-03
1900000018,2025-12-01,F2,NL01,NL01,30,00,Martens Industrieel B.V.,Martens Industrieel B.V.,Netherlands,PLC Programming Unit,15777.45,EUR,SO-7902314,2025/12,BATCHJOB,2025-12-01
1900000020,2025-11-07,F2,NL01,NL01,10,00,Visser Machinebouw B.V.,Visser Machinebouw B.V.,Netherlands,Cloud Hosting Subscription (Annual),11258.02,EUR,SO-2263948,2025/11,R.JANSSEN,2025-11-07
1900000022,2026-03-12,F2,NL01,NL01,10,00,Van der Heijden Supply Chain B.V.,Van der Heijden Supply Chain B.V.,Netherlands,Safety System Upgrade Kit,31551.09,EUR,SO-3085927,2026/03,M.DEVRIES,2026-03-12
1900000024,2026-03-02,F2,NL01,NL01,10,00,Van der Heijden Supply Chain B.V.,Van der Heijden Supply Chain B.V.,Netherlands,Annual Maintenance Contract,472.38,EUR,SO-8603456,2026/03,A.KOK,2026-03-02
1900000025,2025-05-14,F2,NL01,NL01,10,00,Dijkstra Precision B.V.,Dijkstra Precision B.V.,Netherlands,Implementation Consulting Services,12829.84,EUR,SO-4906681,2025/05,A.KOK,2025-05-14
1900000026,2025-09-25,F2,NL01,NL01,10,00,Verhoeven Technische Handel B.V.,Verhoeven Technische Handel B.V.,Netherlands,Conveyor Belt System CB-12,18000.0,EUR,SO-2596838,2025/09,M.DEVRIES,2025-09-25
1900000027,2025-06-16,F2,NL01,NL01,20,00,Dijkstra Precision B.V.,Dijkstra Precision B.V.,Netherlands,Cloud Hosting Subscription (Annual),8479.07,EUR,SO-4746768,2025/06,BATCHJOB,2025-06-16
1900000028,2025-11-03,F2,NL01,NL01,10,00,Baumann Prazisionstechnik GmbH,Baumann Prazisionstechnik GmbH,Germany,Implementation Consulting Services,3872.69,EUR,SO-2457424,2025/11,R.JANSSEN,2025-11-03
1900000029,2026-03-12,F2,NL01,NL01,20,00,Bos Facility Services B.V.,Bos Facility Services B.V.,Netherlands,PLC Programming Unit,20565.35,EUR,SO-1714741,2026/03,M.DEVRIES,2026-03-12
1900000030,2025-09-17,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Warehouse Management Module,17583.91,EUR,SO-8750387,2025/09,S.BAKKER,2025-09-17
1900000032,2025-12-10,F2,NL01,NL01,10,00,De Wit Consultancy B.V.,De Wit Consultancy B.V.,Netherlands,Conveyor Belt System CB-12,25804.78,EUR,SO-4765846,2025/12,A.KOK,2025-12-10
1900000033,2025-12-24,F2,NL01,NL01,20,00,Van der Heijden Supply Chain B.V.,Van der Heijden Supply Chain B.V.,Netherlands,Custom Integration Services,3383.22,EUR,SO-1333574,2025/12,S.BAKKER,2025-12-24
1900000034,2026-01-16,F2,NL01,NL01,10,00,Van Beek Sustainable Energy B.V.,Van Beek Sustainable Energy B.V.,Netherlands,Data Migration Services,20022.55,EUR,SO-2634766,2026/01,BATCHJOB,2026-01-16
1900000035,2026-01-09,F2,NL01,NL01,10,00,Van Dijk Transport B.V.,Van Dijk Transport B.V.,Netherlands,Analytics Suite License (Annual),4571.07,EUR,SO-4402786,2026/01,A.KOK,2026-01-09
1900000037,2026-03-09,F2,NL01,NL01,10,00,Hendriks Metaalbewerking B.V.,Hendriks Metaalbewerking B.V.,Netherlands,Annual Maintenance Contract,27661.57,EUR,SO-3098560,2026/03,R.JANSSEN,2026-03-09
