Account Code,Ledger Name,Debit,Credit
1001,Equity share capital,0.0,25000000.0
1101,Securities premium,0.0,12000000.0
1102,Surplus in Statement of Profit and Loss,0.0,34050000.0
1201,Term loan from State Bank of India,0.0,38500000.0
1251,Deferred tax liabilities (net),0.0,2510000.0
1291,Provision for gratuity (long-term),0.0,3080000.0
1301,Cash credit facility from HDFC Bank,0.0,11800000.0
1331,Trade payables - micro and small enterprises,0.0,5230000.0
1332,Trade payables - other than micro and small,0.0,27150000.0
1361,Statutory dues payable,0.0,3360000.0
1362,Employee benefits payable,0.0,2640000.0
1391,Provision for taxation,0.0,6100000.0
2001,Freehold land,14500000.0,0.0
2002,Factory building,28600000.0,0.0
2003,Plant and machinery,59200000.0,0.0
2004,Furniture and fixtures,3400000.0,0.0
2005,Computers and peripherals,3900000.0,0.0
2010,Accumulated depreciation,0.0,34720000.0
2051,Capital work-in-progress,1800000.0,0.0
2061,Computer software,2400000.0,0.0
2091,Investment in equity of associate,8500000.0,0.0
2121,Security deposits with utilities,3010000.0,0.0
2221,Raw materials,14620000.0,0.0
2222,Work-in-progress,5480000.0,0.0
2223,Finished goods,10240000.0,0.0
2224,Stores and spares,2610000.0,0.0
2251,Trade receivables - considered good,31840000.0,0.0
2252,Provision for doubtful debts,0.0,1420000.0
2281,Cash in hand,310000.0,0.0
2282,Balances with banks in current accounts,12460000.0,0.0
2301,Advances to suppliers,3890000.0,0.0
2331,Prepaid expenses,1620000.0,0.0
2332,GST input tax credit receivable,5830000.0,0.0
3001,Sale of manufactured goods,0.0,172800000.0
3002,Sale of scrap,0.0,3120000.0
3101,Interest income on deposits,0.0,940000.0
3102,Dividend from associate,0.0,620000.0
4001,Cost of materials consumed,103640000.0,0.0
4151,Changes in inventories of finished goods and WIP,0.0,1860000.0
4201,Salaries and wages,19260000.0,0.0
4202,Contribution to provident and other funds,2180000.0,0.0
4203,Staff welfare expenses,1240000.0,0.0
4301,Interest on term loan,4120000.0,0.0
4302,Interest on working capital facilities,1340000.0,0.0
4303,Bank charges,360000.0,0.0
4351,Depreciation on tangible assets,6480000.0,0.0
4352,Amortisation of intangible assets,480000.0,0.0
4401,Power and fuel,8230000.0,0.0
4402,Repairs to machinery,3360000.0,0.0
4403,Rent,2400000.0,0.0
4404,Legal and professional charges,1940000.0,0.0
4405,Payment to auditors,550000.0,0.0
4406,Travelling and conveyance,1870000.0,0.0
4407,Insurance,1120000.0,0.0
4408,CSR expenditure,1280000.0,0.0
4409,Freight outward,3820000.0,0.0
4410,Miscellaneous expenses,1640000.0,0.0
4901,Current tax,7100000.0,0.0
4951,Deferred tax,280000.0,0.0
9911,Capital advance for machinery under installation,0.0,0.0
9999,Suspense account - to be cleared,0.0,0.0
